"Name","ramp/score","ramp/bacc","Created","Runtime","End Time","sigma","Hostname","ID","Notes","Updated","Tags","kernel","method","clip_grad","ramp/bacc_std","ramp/ext_mae","ramp/ext_mae_std","ramp/int_mae","ramp/int_mae_std"
"resnet18_threshold_reduction_sum_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_cauchy_gamma2.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","3.025333","9.2667","2022-10-28T15:04:30.000Z","495350","2022-11-03T08:40:20.000Z","2","NBDOTTI61","3jm0a5ld","-","2022-11-03T08:40:20.000Z","tested","cauchy","threshold","","1.124","6.183","0.038105","3.477333","0.021385"
"resnet18_expw_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_cauchy_gamma2.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","1.848667","5","2022-10-28T15:04:30.000Z","517975","2022-11-03T14:57:25.000Z","2","NBDOTTI61","i3qmz1yh","-","2022-11-03T14:57:25.000Z","tested","cauchy","expw","","0.1","4.547","0.019157","2.666","0.002646"
"resnet18_yaware_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_rbf_sigma2.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","1.815333","6.6","2022-10-28T15:04:30.000Z","79443","2022-10-29T13:08:33.000Z","2","NBDOTTI61","ooz7z2yo","-","2022-10-29T13:08:33.000Z","tested","rbf","yaware","","0.1732","4.102","0.009539","2.664667","0.002082"
"resnet18_yaware_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_cauchy_gamma2.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","2.482333","8.1667","2022-10-28T15:04:28.000Z","461295","2022-11-02T23:12:43.000Z","2","NBDOTTI61","r07q08n4","-","2022-11-02T23:12:43.000Z","tested","cauchy","yaware","","0.6658","5.267333","0.004509","3.088333","0.019425"
"resnet18_expw_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_rbf_sigma2.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","1.539667","5.1","2022-10-29T06:27:10.000Z","453260","2022-11-03T12:21:30.000Z","2","NBDOTTI61","w0ci971l","-","2022-11-03T12:21:30.000Z","tested","rbf","expw","","0.1","3.761","0.005","2.552","0.002"
"resnet18_threshold_reduction_sum_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_rbf_sigma2.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","1.738333","5.7333","2022-10-29T06:24:22.000Z","440525","2022-11-03T08:46:27.000Z","2","NBDOTTI61","ykx8p7pc","-","2022-11-03T08:46:27.000Z","tested","rbf","threshold","","0.1528","4.098333","0.009504","2.947","0.004359"
"resnet18_threshold_reduction_sum_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_rbf_sigma1.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","2.627","8.5","2022-10-29T05:51:32.000Z","472252","2022-11-03T17:02:24.000Z","1","NBDOTTI61","alp80xna","-","2022-11-03T17:02:24.000Z","tested","rbf","threshold","","1.0149","5.508333","0.019858","3.042667","0.011676"
"resnet18_expw_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_cauchy_gamma1.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","1.816","4.8667","2022-10-28T15:04:30.000Z","536997","2022-11-03T20:14:27.000Z","1","NBDOTTI61","anck0dqb","-","2022-11-03T20:14:27.000Z","tested","cauchy","expw","","0.2082","4.502667","0.010408","2.731","0.006083"
"resnet18_yaware_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_rbf_sigma1.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","2.428","6.6333","2022-10-28T15:04:30.000Z","180849","2022-10-30T17:18:39.000Z","1","NBDOTTI61","apyqr2sz","-","2022-10-30T17:18:39.000Z","tested","rbf","yaware","","0.8505","5.492667","0.05208","2.850333","0.006807"
"resnet18_threshold_reduction_sum_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_cauchy_gamma1.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","2.282333","8.5333","2022-10-28T15:04:29.000Z","534546","2022-11-03T19:33:35.000Z","1","NBDOTTI61","bsecf64m","-","2022-11-03T19:33:35.000Z","tested","cauchy","threshold","","0.3512","4.775333","0.013204","2.779667","0.010599"
"resnet18_expw_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_rbf_sigma1.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","1.575667","4.9667","2022-10-29T06:25:27.000Z","470279","2022-11-03T17:03:26.000Z","1","NBDOTTI61","nl49poa9","-","2022-11-03T17:03:26.000Z","tested","rbf","expw","","0.4041","3.877667","0.004041","2.823","0.002646"
"resnet18_yaware_adam_tfnone_lr0.0001_step_step10_rate0.9_temp0.1_wd5e-05_bsz32_views2_trainall_True_kernel_cauchy_gamma1.0_alpha1.0_lambd0.0_fklliteral_True_fklkernel_True_label_trial0","2.147333","7.7333","2022-10-28T15:04:28.000Z","450797","2022-11-02T20:17:45.000Z","1","NBDOTTI61","w85oskw1","-","2022-11-02T20:17:45.000Z","tested","cauchy","yaware","","0.6506","4.633667","0.028113","2.710667","0.005508"
